,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
253,1900,Paris,Athletics,Athletics,William Holland,USA,Men,400M,Silver,United States
254,1900,Paris,Athletics,Athletics,George Orton,CAN,Men,400M Hurdles,Bronze,Canada
255,1900,Paris,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,400M Hurdles,Gold,United States
256,1900,Paris,Athletics,Athletics,Henri Tauzin,FRA,Men,400M Hurdles,Silver,France
257,1900,Paris,Athletics,Athletics,Charles Bennett,ZZX,Men,5000M Team,Gold,
258,1900,Paris,Athletics,Athletics,John Rimmer,ZZX,Men,5000M Team,Gold,
259,1900,Paris,Athletics,Athletics,Sidney Robinson,ZZX,Men,5000M Team,Gold,
260,1900,Paris,Athletics,Athletics,Stanley Rowley,ZZX,Men,5000M Team,Gold,
261,1900,Paris,Athletics,Athletics,Alfred Tysoe,ZZX,Men,5000M Team,Gold,
262,1900,Paris,Athletics,Athletics,Andr̩ Castanet,FRA,Men,5000M Team,Silver,France
263,1900,Paris,Athletics,Athletics,Michel Champoudry,FRA,Men,5000M Team,Silver,France
264,1900,Paris,Athletics,Athletics,Jacques Chastanie,FRA,Men,5000M Team,Silver,France
265,1900,Paris,Athletics,Athletics,Henri Deloge,FRA,Men,5000M Team,Silver,France
266,1900,Paris,Athletics,Athletics,Gaston Ragueneau,FRA,Men,5000M Team,Silver,France
267,1900,Paris,Athletics,Athletics,Stanley Rowley,AUS,Men,60M,Bronze,Australia
268,1900,Paris,Athletics,Athletics,Alvin Kraenzlein,USA,Men,60M,Gold,United States
269,1900,Paris,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,60M,Silver,United States
270,1900,Paris,Athletics,Athletics,David Hall,USA,Men,800M,Bronze,United States
271,1900,Paris,Athletics,Athletics,Alfred Tysoe,GBR,Men,800M,Gold,United Kingdom
272,1900,Paris,Athletics,Athletics,John Cregan,USA,Men,800M,Silver,United States
273,1900,Paris,Athletics,Athletics,Richard Sheldon,USA,Men,Discus Throw,Bronze,United States
274,1900,Paris,Athletics,Athletics,Rudolf Bauer,HUN,Men,Discus Throw,Gold,Hungary
275,1900,Paris,Athletics,Athletics,Frantisek Janda,BOH,Men,Discus Throw,Silver,
276,1900,Paris,Athletics,Athletics,Josiah Mccracken,USA,Men,Hammer Throw,Bronze,United States
277,1900,Paris,Athletics,Athletics,John Jesus Flanagan,USA,Men,Hammer Throw,Gold,United States
278,1900,Paris,Athletics,Athletics,Thomas Truxton Hare,USA,Men,Hammer Throw,Silver,United States
